iaver=       1

 -0.23553E+00 -0.23553E+00 -0.23872E+00 -0.24171E+00 -0.27863E+00 -0.27863E+00 -0.27953E+00
 -0.28008E+00 -0.30947E+00 -0.31401E+00 -0.31401E+00 -0.31706E+00 -0.33861E+00 -0.33955E+00
 -0.34161E+00 -0.34161E+00 -0.35037E+00 -0.36135E+00 -0.36135E+00 -0.37130E+00 -0.37307E+00
 -0.37321E+00 -0.37321E+00 -0.37717E+00 -0.38314E+00 -0.38524E+00

     time=      35.00(fs). Energy of active surface:-0.60756E-01 RYD
  0.24353E-02 -0.61846E-02 -0.55654E-01 -0.60756E-01 -0.62220E-01 -0.62220E-01 -0.11868E+00
 -0.12683E+00 -0.12683E+00 -0.12711E+00 -0.17209E+00 -0.18485E+00 -0.18485E+00 -0.19358E+00
 -0.23553E+00 -0.23553E+00 -0.23884E+00 -0.24001E+00 -0.27768E+00 -0.27863E+00 -0.27863E+00
 -0.28082E+00 -0.30859E+00 -0.31401E+00 -0.31401E+00 -0.31694E+00 -0.33825E+00 -0.33944E+00
 -0.34161E+00 -0.34161E+00 -0.35030E+00 -0.36135E+00 -0.36135E+00 -0.37031E+00 -0.37231E+00
 -0.37321E+00 -0.37321E+00 -0.37717E+00 -0.38295E+00 -0.38419E+00

